RISM ID-Nr.,856$u,856$z,856$x
700010701,https://uurl.kbr.be/1454240,Digitized source,Digitalization
700010970,https://uurl.kbr.be/1454245,Digitized source,Digitalization
700010996,https://uurl.kbr.be/1814069,Digitized source,Digitalization
700010971,https://uurl.kbr.be/1454260,Digitized source,Digitalization
700010997,https://uurl.kbr.be/1814065,Digitized source,Digitalization
700011097,https://uurl.kbr.be/1496452,Digitized source,Digitalization
700011098,https://uurl.kbr.be/1496456,Digitized source,Digitalization
700011099,https://uurl.kbr.be/1496468,Digitized source,Digitalization
700011100,https://uurl.kbr.be/1496468,Digitized source,Digitalization
700011099,https://uurl.kbr.be/1496478,Digitized source,Digitalization
700011101,https://uurl.kbr.be/1496478,Digitized source,Digitalization
700011103,https://uurl.kbr.be/1454451,Digitized source,Digitalization
700011104,https://uurl.kbr.be/1454455,Digitized source,Digitalization
700011105,https://uurl.kbr.be/1496489,Digitized source,Digitalization
700011106,https://uurl.kbr.be/1496501,Digitized source,Digitalization
700011106,https://uurl.kbr.be/1496508,Digitized source,Digitalization
700011108,https://uurl.kbr.be/1454467,Digitized source,Digitalization
700011109,https://uurl.kbr.be/1454472,Digitized source,Digitalization
700011110,https://uurl.kbr.be/1454504,Digitized source,Digitalization
700011111,https://uurl.kbr.be/1454533,Digitized source,Digitalization
700011112,https://uurl.kbr.be/1454547,Digitized source,Digitalization
700011113,https://uurl.kbr.be/1454563,Digitized source,Digitalization
700011114,https://uurl.kbr.be/1454563,Digitized source,Digitalization
700011115,https://uurl.kbr.be/1454563,Digitized source,Digitalization
700011116,https://uurl.kbr.be/1454563,Digitized source,Digitalization
700011117,https://uurl.kbr.be/1454563,Digitized source,Digitalization
700011118,https://uurl.kbr.be/1454563,Digitized source,Digitalization
700011119,https://uurl.kbr.be/1454563,Digitized source,Digitalization
700011120,https://uurl.kbr.be/1454563,Digitized source,Digitalization
700011121,https://uurl.kbr.be/1454563,Digitized source,Digitalization
700011122,https://uurl.kbr.be/1454563,Digitized source,Digitalization
700011123,https://uurl.kbr.be/1496527,Digitized source,Digitalization
700011125,https://uurl.kbr.be/1814037,Digitized source,Digitalization
700011126,https://uurl.kbr.be/1454578,Digitized source,Digitalization
700011127,https://uurl.kbr.be/1454591,Digitized source,Digitalization
700011128,https://uurl.kbr.be/1454595,Digitized source,Digitalization
700011129,https://uurl.kbr.be/1454600,Digitized source,Digitalization
700011130,https://uurl.kbr.be/1454609,Digitized source,Digitalization
700011131,https://uurl.kbr.be/1454617,Digitized source,Digitalization
700011132,https://uurl.kbr.be/1454632,Digitized source,Digitalization
700011133,https://uurl.kbr.be/1454637,Digitized source,Digitalization
700011134,https://uurl.kbr.be/1454648,Digitized source,Digitalization
700011135,https://uurl.kbr.be/1454654,Digitized source,Digitalization
700011136,https://uurl.kbr.be/1454675,Digitized source,Digitalization
700011137,https://uurl.kbr.be/1454687,Digitized source,Digitalization
700011139,https://uurl.kbr.be/1454691,Digitized source,Digitalization
700011124,https://uurl.kbr.be/1454701,Digitized source,Digitalization
700011140,https://uurl.kbr.be/1454717,Digitized source,Digitalization
700011138,https://uurl.kbr.be/1454726,Digitized source,Digitalization
700011107,https://uurl.kbr.be/1454731,Digitized source,Digitalization
700011102,https://uurl.kbr.be/1496530,Digitized source,Digitalization
700011141,https://uurl.kbr.be/1454836,Digitized source,Digitalization
700011142,https://uurl.kbr.be/1454836,Digitized source,Digitalization
700011143,https://uurl.kbr.be/1454836,Digitized source,Digitalization
700011144,https://uurl.kbr.be/1454836,Digitized source,Digitalization
700011145,https://uurl.kbr.be/1454836,Digitized source,Digitalization
700011146,https://uurl.kbr.be/1454836,Digitized source,Digitalization
700011147,https://uurl.kbr.be/1454836,Digitized source,Digitalization
700011172,https://uurl.kbr.be/1577480,Digitized source,Digitalization
700011173,https://uurl.kbr.be/1577482,Digitized source,Digitalization
700011174,https://uurl.kbr.be/1577484,Digitized source,Digitalization
700011162,https://uurl.kbr.be/1838265,Digitized source,Digitalization
700011163,https://uurl.kbr.be/1838109,Digitized source,Digitalization
