SIGLUM,AMOUNT
I-AN,421
I-ANAcl,4
I-BAR,14
I-BGc,4308
I-BGi,1480
I-BREd,5514
I-BREk,110
I-BREm,1
I-BRc,622
I-BRq,1
I-BRs,64
I-BZd,1
I-BZf,3246
I-Baf,282
I-Bas,181
I-Bof,305
I-Bsf,277
I-Bsp,168
I-CALDf,1
I-CBp,6
I-CHc,30
I-CHf,426
I-CLOsl,215
I-CMGd,90
I-COLbarcella,21
I-FELd,269
I-FZc,321
I-Fa,770
I-Fb,86
I-Gsl,379
I-LAGhilfert,5
I-LANc,33
I-LEpastore,217
I-Lcs,5
I-Li,1
I-MAVb,4
I-MAav,454
I-MAi,1
I-MC,11794
I-MOcaffagni,35
I-MOe,807
I-MZ,237
I-Mb,37
I-Mc,1909
I-Mdemicheli,1001
I-Mgentili,1
I-Mr,1
I-Msc,410
I-NV,26
I-Nc,3615
I-Nn,12
I-ORTd,398
I-OS,28
I-PANd,618
I-PAc,3
I-PESc,50
I-PESd,391
I-PESo,1
I-PEsf,45
I-PEsl,228
I-PEsp,551
I-PLcom,7
I-PLcon,159
I-Pca,442
I-REm,66
I-RId,561
I-Rac,18
I-Raf,2482
I-Rama,2538
I-Ras,125
I-Rbompiani,62
I-Rc,2597
I-Rcagli,186
I-Rchg,65
I-Rdp,174
I-Rf,1
I-Ria,3245
I-Ribimus,174
I-Rli,1144
I-Rmalvezzi,31
I-Rmassimo,144
I-Rn,1646
I-Rrai,238
I-Rrostirolla,1587
I-Rsc,1260
I-Rsg,8890
I-Rsm,5690
I-Rsmt,2374
I-SAa,110
I-SCAcc,8
I-SGEap,1
I-SPAm,4
I-SPE,187
I-SPEbc,18
I-Sd,2663
I-Sr,195
I-TEODm,8
I-TIVd,160
I-Tci,139
I-Tf,1424
I-UDricardi,321
I-VBap,6
I-VEcon,21
I-VEss,13
I-VIPap,12
I-VIb,2
I-VId,2020
I-VIof,23
I-Valn,1
I-Vc,1133
I-Vire,276
I-Vlevi,1129
I-Vnm,221
I-Vqs,1558
